numberOfPEs,replicationLevel,roundsUntilIrrecoverableDataLoss
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
4,2,1
4,2,2
4,2,1
4,2,2
4,2,2
4,2,1
4,2,1
4,2,2
4,2,2
4,2,2
8,2,3
8,2,4
8,2,1
8,2,2
8,2,2
8,2,2
8,2,2
8,2,3
8,2,2
8,2,4
16,2,6
16,2,3
16,2,1
16,2,8
16,2,4
16,2,1
16,2,2
16,2,4
16,2,2
16,2,3
32,2,5
32,2,7
32,2,8
32,2,9
32,2,6
32,2,9
32,2,7
32,2,7
32,2,7
32,2,5
64,2,11
64,2,12
64,2,5
64,2,5
64,2,4
64,2,1
64,2,4
64,2,8
64,2,5
64,2,7
128,2,18
128,2,23
128,2,5
128,2,14
128,2,19
128,2,15
128,2,15
128,2,20
128,2,4
128,2,13
256,2,26
256,2,15
256,2,22
256,2,17
256,2,27
256,2,29
256,2,32
256,2,18
256,2,13
256,2,12
512,2,19
512,2,33
512,2,28
512,2,36
512,2,27
512,2,23
512,2,14
512,2,12
512,2,47
512,2,42
1024,2,50
1024,2,48
1024,2,26
1024,2,58
1024,2,41
1024,2,66
1024,2,32
1024,2,23
1024,2,14
1024,2,59
2048,2,39
2048,2,59
2048,2,84
2048,2,34
2048,2,34
2048,2,52
2048,2,48
2048,2,90
2048,2,41
2048,2,49
4096,2,96
4096,2,127
4096,2,39
4096,2,117
4096,2,108
4096,2,44
4096,2,75
4096,2,56
4096,2,73
4096,2,12
8192,2,102
8192,2,66
8192,2,144
8192,2,90
8192,2,59
8192,2,28
8192,2,100
8192,2,262
8192,2,63
8192,2,24
16384,2,244
16384,2,87
16384,2,103
16384,2,133
16384,2,151
16384,2,109
16384,2,99
16384,2,286
16384,2,96
16384,2,99
32768,2,335
32768,2,258
32768,2,29
32768,2,78
32768,2,69
32768,2,262
32768,2,262
32768,2,181
32768,2,197
32768,2,349
65536,2,371
65536,2,243
65536,2,189
65536,2,96
65536,2,419
65536,2,405
65536,2,148
65536,2,263
65536,2,308
65536,2,261
131072,2,553
131072,2,132
131072,2,72
131072,2,255
131072,2,691
131072,2,618
131072,2,590
131072,2,865
131072,2,674
131072,2,464
262144,2,1159
262144,2,201
262144,2,353
262144,2,195
262144,2,864
262144,2,789
262144,2,1067
262144,2,887
262144,2,561
262144,2,552
524288,2,660
524288,2,427
524288,2,489
524288,2,335
524288,2,1993
524288,2,788
524288,2,807
524288,2,983
524288,2,2311
524288,2,990
1048576,2,655
1048576,2,434
1048576,2,1928
1048576,2,802
1048576,2,1908
1048576,2,1654
1048576,2,645
1048576,2,2501
1048576,2,536
1048576,2,1768
2097152,2,1653
2097152,2,1068
2097152,2,2519
2097152,2,1381
2097152,2,1118
2097152,2,1823
2097152,2,3192
2097152,2,1940
2097152,2,2262
2097152,2,2002
4194304,2,5185
4194304,2,1185
4194304,2,4704
4194304,2,3255
4194304,2,4158
4194304,2,2694
4194304,2,5489
4194304,2,5631
4194304,2,3623
4194304,2,666
8388608,2,4066
8388608,2,1671
8388608,2,2109
8388608,2,3039
8388608,2,2241
8388608,2,1068
8388608,2,3350
8388608,2,1848
8388608,2,1520
8388608,2,1544
16777216,2,836
16777216,2,3804
16777216,2,7257
16777216,2,4233
16777216,2,8843
16777216,2,4525
16777216,2,4890
16777216,2,1894
16777216,2,6164
16777216,2,5345
33554432,2,6759
33554432,2,3949
33554432,2,10824
33554432,2,12712
33554432,2,16070
33554432,2,8892
33554432,2,8393
33554432,2,8718
33554432,2,1793
33554432,2,14904
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
4,3,2
8,3,3
8,3,4
8,3,4
8,3,3
8,3,4
8,3,2
8,3,2
8,3,4
8,3,4
8,3,4
16,3,2
16,3,4
16,3,7
16,3,5
16,3,6
16,3,6
16,3,5
16,3,4
16,3,6
16,3,7
32,3,10
32,3,11
32,3,11
32,3,9
32,3,8
32,3,9
32,3,13
32,3,11
32,3,13
32,3,8
64,3,16
64,3,16
64,3,16
64,3,23
64,3,11
64,3,8
64,3,24
64,3,12
64,3,10
64,3,3
128,3,31
128,3,25
128,3,13
128,3,15
128,3,16
128,3,31
128,3,13
128,3,23
128,3,18
128,3,19
256,3,77
256,3,27
256,3,8
256,3,16
256,3,22
256,3,27
256,3,42
256,3,48
256,3,38
256,3,43
512,3,57
512,3,49
512,3,102
512,3,49
512,3,65
512,3,81
512,3,61
512,3,98
512,3,90
512,3,78
1024,3,137
1024,3,149
1024,3,97
1024,3,70
1024,3,93
1024,3,104
1024,3,75
1024,3,65
1024,3,61
1024,3,172
2048,3,140
2048,3,164
2048,3,105
2048,3,155
2048,3,129
2048,3,148
2048,3,89
2048,3,121
2048,3,146
2048,3,174
4096,3,266
4096,3,317
4096,3,61
4096,3,156
4096,3,146
4096,3,267
4096,3,190
4096,3,292
4096,3,214
4096,3,156
8192,3,251
8192,3,341
8192,3,345
8192,3,421
8192,3,189
8192,3,326
8192,3,268
8192,3,527
8192,3,401
8192,3,665
16384,3,750
16384,3,292
16384,3,720
16384,3,237
16384,3,858
16384,3,787
16384,3,610
16384,3,592
16384,3,495
16384,3,615
32768,3,833
32768,3,557
32768,3,1318
32768,3,1251
32768,3,348
32768,3,1242
32768,3,224
32768,3,711
32768,3,1420
32768,3,1224
65536,3,1474
65536,3,2317
65536,3,1428
65536,3,1885
65536,3,1622
65536,3,490
65536,3,1122
65536,3,1700
65536,3,780
65536,3,645
131072,3,3489
131072,3,3374
131072,3,2316
131072,3,3583
131072,3,2072
131072,3,2481
131072,3,3194
131072,3,3534
131072,3,3025
131072,3,2437
262144,3,2401
262144,3,2119
262144,3,3061
262144,3,4548
262144,3,5749
262144,3,3552
262144,3,2375
262144,3,3726
262144,3,3349
262144,3,7001
524288,3,5461
524288,3,5582
524288,3,5483
524288,3,4237
524288,3,3879
524288,3,5838
524288,3,8877
524288,3,3876
524288,3,3001
524288,3,4548
1048576,3,7228
1048576,3,7507
1048576,3,9811
1048576,3,13776
1048576,3,6801
1048576,3,3500
1048576,3,7709
1048576,3,11567
1048576,3,13498
1048576,3,2319
2097152,3,16553
2097152,3,19962
2097152,3,18477
2097152,3,16665
2097152,3,16466
2097152,3,8919
2097152,3,23761
2097152,3,13373
2097152,3,14436
2097152,3,17726
4194304,3,12689
4194304,3,31582
4194304,3,27771
4194304,3,27992
4194304,3,25462
4194304,3,19139
4194304,3,38459
4194304,3,25107
4194304,3,27769
4194304,3,38062
8388608,3,29949
8388608,3,38819
8388608,3,34406
8388608,3,58352
8388608,3,38176
8388608,3,41387
8388608,3,46323
8388608,3,28625
8388608,3,42531
8388608,3,67150
16777216,3,77709
16777216,3,48484
16777216,3,59684
16777216,3,25490
16777216,3,88183
16777216,3,30091
16777216,3,29354
16777216,3,42687
16777216,3,54245
16777216,3,27855
33554432,3,126277
33554432,3,100090
33554432,3,71297
33554432,3,124242
33554432,3,26622
33554432,3,43908
33554432,3,96189
33554432,3,129579
33554432,3,80986
33554432,3,170008
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
8,4,6
8,4,5
8,4,6
8,4,5
8,4,5
8,4,6
8,4,4
8,4,6
8,4,6
8,4,6
16,4,8
16,4,9
16,4,6
16,4,11
16,4,10
16,4,11
16,4,9
16,4,12
16,4,8
16,4,9
32,4,19
32,4,22
32,4,20
32,4,20
32,4,20
32,4,14
32,4,14
32,4,20
32,4,8
32,4,24
64,4,34
64,4,25
64,4,32
64,4,25
64,4,36
64,4,31
64,4,25
64,4,34
64,4,33
64,4,36
128,4,62
128,4,70
128,4,54
128,4,47
128,4,48
128,4,45
128,4,38
128,4,58
128,4,51
128,4,50
256,4,53
256,4,91
256,4,112
256,4,76
256,4,96
256,4,121
256,4,121
256,4,100
256,4,90
256,4,94
512,4,172
512,4,95
512,4,87
512,4,123
512,4,139
512,4,119
512,4,82
512,4,198
512,4,110
512,4,159
1024,4,153
1024,4,223
1024,4,298
1024,4,178
1024,4,281
1024,4,333
1024,4,287
1024,4,333
1024,4,245
1024,4,298
2048,4,389
2048,4,302
2048,4,355
2048,4,404
2048,4,455
2048,4,414
2048,4,389
2048,4,442
2048,4,339
2048,4,428
4096,4,716
4096,4,348
4096,4,534
4096,4,891
4096,4,738
4096,4,773
4096,4,982
4096,4,1008
4096,4,675
4096,4,761
8192,4,1004
8192,4,854
8192,4,1412
8192,4,1081
8192,4,538
8192,4,1596
8192,4,1398
8192,4,1228
8192,4,1135
8192,4,1324
16384,4,1657
16384,4,1923
16384,4,2175
16384,4,1447
16384,4,1611
16384,4,2583
16384,4,2034
16384,4,1981
16384,4,1407
16384,4,1794
32768,4,2352
32768,4,3471
32768,4,2524
32768,4,1773
32768,4,3903
32768,4,3528
32768,4,2964
32768,4,1702
32768,4,3493
32768,4,3187
65536,4,5096
65536,4,7350
65536,4,4414
65536,4,2599
65536,4,7272
65536,4,9212
