rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r01c03s01,2,280259,2,13859,2,45035,2,349416,1,3146790,1,82311100,1,1244636,1,323111,2,4715592,2,11481,1,2663308,2,3792,2,7241933,2,2633,2,1351312,2,18779,64,16834666,189,3592575,0,0
1,i01r01c03s01,2,275405,2,13387,2,41368,2,248478,1,2724071,1,82150820,1,1362414,1,657615,2,4387357,2,9987,1,2708528,2,3652,2,6722711,2,2262,2,1613442,2,18016,64,18050278,189,3825890,0,0
2,i01r01c03s01,2,275120,2,13307,2,44158,2,730828,1,4352691,1,81925018,1,1442634,1,524547,2,6096933,2,6601,1,2664871,2,3569,2,7402888,2,2604,2,2244464,2,18843,64,17498048,189,3669029,0,0
3,i01r01c03s01,2,277498,2,14187,2,40900,2,247262,1,1809579,1,81071023,1,1295864,1,738965,2,3409610,2,9927,1,2658337,2,3843,2,6729506,2,2738,2,1695019,2,17760,64,20205035,189,3584018,0,0
4,i01r01c03s01,2,271093,2,13899,2,47127,2,529530,1,4510193,1,80816686,1,1382598,1,352473,2,6191989,2,7801,1,2655932,2,4180,2,7020805,2,2851,2,1566367,2,18241,64,19326950,189,3610910,0,0
5,i01r01c03s01,2,270501,2,13935,2,39228,2,506016,1,4259962,1,82456216,1,1290586,1,351144,2,5846268,2,6864,1,2663318,2,3563,2,6894775,2,2556,2,1603482,2,19244,64,19122363,189,3696048,0,0
6,i01r01c03s01,2,285035,2,13190,2,53443,2,540112,1,4748569,1,81378423,1,1247055,1,470230,2,6306558,2,6225,1,2664997,2,4367,2,9637818,2,2808,2,1977153,2,21218,64,17757784,189,3648439,0,0
7,i01r01c03s01,2,281591,2,14004,2,39763,2,372070,1,4015829,1,80347299,1,1242310,1,845993,2,5565949,2,7377,1,2666217,2,3956,2,7247922,2,2698,2,1574277,2,19142,64,20040289,189,3693949,0,0
8,i01r01c03s01,2,274255,2,13983,2,48235,2,551622,1,4512493,1,82013444,1,1089201,1,1737605,2,5904814,2,8549,1,2617248,2,3960,2,6953642,2,2820,2,1634590,2,17741,64,19369602,189,3546772,0,0
9,i01r01c03s01,2,280621,2,13834,2,37829,2,283621,1,1772291,1,82219973,1,1127390,1,707183,2,3206447,2,10788,1,2616883,2,3771,2,6745281,2,2293,2,1823052,2,17302,64,20103365,189,3664610,0,0
10,i01r01c03s01,2,270671,2,13077,2,43398,2,442421,1,3570792,1,82667671,1,1384605,1,1527740,2,5250750,2,7924,1,2650179,2,4234,2,7366312,2,2744,2,2139846,2,17819,64,18782475,189,3549513,0,0
11,i01r01c03s01,2,279083,2,13468,2,43212,2,271927,1,3861057,1,81511247,1,1238974,1,637136,2,5406538,2,9215,1,2664195,2,4044,2,8111329,2,2319,2,1403766,2,17853,64,20101376,189,3741001,0,0
12,i01r01c03s01,2,279456,2,13088,2,40860,2,320760,1,2242879,1,82856573,1,1226728,1,665997,2,3775381,2,7470,1,2653824,2,3660,2,7315558,2,2541,2,2098166,2,18432,64,19393828,189,3527160,0,0
13,i01r01c03s01,2,270726,2,13666,2,45130,2,295417,1,3049436,1,81015143,1,1311373,1,516647,2,4658600,2,7106,1,2619332,2,4398,2,6690600,2,2573,2,1889772,2,19742,64,19879884,189,3679345,0,0
14,i01r01c03s01,2,278476,2,14066,2,42711,2,346886,1,2499538,1,80756758,1,1223401,1,712951,2,4027221,2,7142,1,2615426,2,3834,2,7091353,2,2596,2,1797075,2,18102,64,18669626,189,3609883,0,0
15,i01r01c03s01,2,267960,2,13927,2,43517,2,268985,1,3921361,1,82813796,1,1458838,1,364716,2,5675279,2,6113,1,2662607,2,4232,2,7163419,2,2952,2,1605030,2,19445,64,20202539,189,3624821,0,0
16,i01r01c03s01,2,278749,2,13384,2,47367,2,525241,1,4623313,1,82099717,1,1424188,1,311925,2,6353178,2,6781,1,2618775,2,4086,2,7053004,2,2820,2,1630845,2,18498,64,19229949,189,3640233,0,0
17,i01r01c03s01,2,272767,2,13557,2,42459,2,499726,1,4548829,1,80943917,1,1406220,1,999236,2,6254688,2,8150,1,2712686,2,3688,2,6818016,2,2467,2,1676028,2,20179,64,17986538,189,3653070,0,0
18,i01r01c03s01,2,280190,2,13509,2,37953,2,231918,1,2703616,1,82388012,1,1233747,1,369446,2,4244206,2,9783,1,2658536,2,3427,2,7074626,2,2603,2,1673690,2,16480,64,17258705,189,3641867,0,0
19,i01r01c03s01,2,277809,2,13939,2,42534,2,715409,1,4494139,1,82540084,1,1237190,1,773672,2,6035097,2,6774,1,2660402,2,3700,2,6867224,2,2663,2,1532822,2,18016,64,19251992,189,3607456,0,0
20,i01r01c03s01,2,267135,2,13285,2,61456,2,926025,1,4510108,1,81288510,1,1347390,1,1300174,2,6153754,2,7289,1,2647362,2,5016,2,8530425,2,3916,2,2613721,2,25840,64,19400386,189,3688840,0,0
21,i01r01c03s01,2,278114,2,13315,2,40010,2,435876,1,4703504,1,82029798,1,1180273,1,314496,2,6187423,2,6414,1,2663396,2,3882,2,7546168,2,2678,2,1677303,2,19252,64,19840531,189,3638104,0,0
22,i01r01c03s01,2,270280,2,12876,2,42225,2,222241,1,2935572,1,82704526,1,1274718,1,998756,2,4506660,2,6536,1,2661153,2,3981,2,7026845,2,2585,2,1743374,2,19505,64,17488580,189,3629118,0,0
23,i01r01c03s01,2,274083,2,13549,2,40707,2,245681,1,2575034,1,81788866,1,1329616,1,499241,2,4204985,2,9556,1,2662780,2,3433,2,7056877,2,2345,2,1718875,2,18286,64,20089950,189,3594932,0,0
24,i01r01c03s01,2,267552,2,14101,2,45319,2,350865,1,2038859,1,80943869,1,1401124,1,550222,2,3734490,2,10157,1,2615195,2,3713,2,7127302,2,2790,2,1837557,2,19394,64,19378322,189,3613136,0,0
