rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r07c04s02,2,3262743,2,9264,2,344056,2,10924763,1,1082794425,1,2265543940,1,18126961,1,113672093,2,1104236068,2,5787137,1,43193790,2,99632,2,163027285,2,152075,2,51550729,2,140529,432,30652064251,921,181654486,0,0
1,i01r07c04s02,2,3341159,2,8804,2,438041,2,11758701,1,1117495925,1,2255435366,1,18306431,1,663146393,2,1139174359,2,7825106,1,43071643,2,94388,2,171169931,2,128930,2,71860997,2,100534,432,50608977782,921,213236997,0,0
2,i01r07c04s02,2,3354518,2,8648,2,387090,2,8923298,1,503497982,1,2255652540,1,18446795,1,122322807,2,525326859,2,6903644,1,43463454,2,60920,2,143627756,2,92287,2,79898260,2,99079,432,50504615205,921,198603707,0,0
3,i01r07c04s02,2,3280102,2,8498,2,384763,2,9750979,1,1057114905,1,2256889673,1,18447827,1,664163246,2,1078871055,2,6561227,1,42194625,2,80821,2,134722786,2,90508,2,82659890,2,102065,432,50647523967,921,206216300,0,0
4,i01r07c04s02,2,3360208,2,8220,2,418952,2,8659352,1,762387998,1,2250215292,1,18449128,1,122217798,2,784225683,2,6508414,1,44181842,2,60237,2,141294364,2,85993,2,72981712,2,93882,432,50566261591,921,197873387,0,0
5,i01r07c04s02,2,3320472,2,8678,2,477580,2,11290812,1,1115251429,1,2261039469,1,18333341,1,670601973,2,1136935930,2,6299836,1,42186187,2,99117,2,151842753,2,129836,2,83696550,2,132789,432,50956740107,921,207746279,0,0
6,i01r07c04s02,2,3349821,2,8620,2,388166,2,11126002,1,618744258,1,2265610986,1,18345063,1,122862800,2,640468403,2,7027905,1,43945493,2,106811,2,180885170,2,155991,2,52059503,2,146228,432,51935836646,921,211223620,0,0
7,i01r07c04s02,2,3333830,2,8446,2,331314,2,8037750,1,1066401969,1,2266168434,1,18450568,1,674244408,2,1088214889,2,5962572,1,44188616,2,78822,2,138791857,2,83582,2,80399164,2,95877,432,51108197940,921,208517755,0,0
8,i01r07c04s02,2,3283478,2,8627,2,393111,2,8465932,1,796001301,1,2257589921,1,18553699,1,116592180,2,817867939,2,6967017,1,44047307,2,81246,2,139315325,2,88315,2,71877029,2,94140,432,50842332079,921,206101456,0,0
9,i01r07c04s02,2,3297256,2,8337,2,403854,2,10162469,1,1055086541,1,2252469649,1,18426695,1,671766992,2,1076838792,2,6566040,1,43665605,2,80876,2,134023999,2,88425,2,85236529,2,100620,432,51379788988,921,213031091,0,0
10,i01r07c04s02,2,3317896,2,9189,2,400774,2,8746889,1,761762828,1,2258844987,1,18125798,1,112651751,2,783235679,2,7295549,1,43469163,2,81791,2,141740056,2,89089,2,70875292,2,101268,432,51437508826,921,211554921,0,0
11,i01r07c04s02,2,3360339,2,8382,2,389846,2,8435547,1,1062758524,1,2266260771,1,18307509,1,685037775,2,1084454855,2,6217337,1,42906135,2,79763,2,134813414,2,88139,2,83776656,2,99018,432,50996664587,921,216402857,0,0
