rank,processor,numBalanceLoad,nsSumBalanceLoad,numComputePartMasters,nsSumComputePartMasters,numCreateTree,nsSumCreateTree,numDestroyPartitions,nsSumDestroyPartitions,numLoadMSAFromRBACached,nsSumLoadMSAFromRBACached,numLoadMSAFromRBAUncached,nsSumLoadMSAFromRBAUncached,numLoadMSAFromReStore,nsSumLoadMSAFromReStore,numLoadMetadataFromRBA,nsSumLoadMetadataFromRBA,numRedoPartitionAssignment,nsSumRedoPartitionAssignment,numRestoreModels,nsSumRestoreModels,numSaveToReStore,nsSumSaveToReStore,numTreeinfoDestroy,nsSumTreeinfoDestroy,numTreeinfoInit,nsSumTreeinfoInit,numTreeinfoResetPartitions,nsSumTreeinfoResetPartitions,numTreeinfoUpdatePartialsAndCLVs,nsSumTreeinfoUpdatePartialsAndCLVs,numUTreeGraphDestroy,nsSumUTreeGraphDestroy,numUpdateModels,nsSumUpdateModels,numUpdateTree,nsSumUpdateTree,numwork,nsSumwork
0,i01r06c05s05,2,557809,2,7290,2,101852,2,6205075,1,348948075,1,243102120,1,1609755,1,12933975,2,351151959,2,2483604,1,3253374,2,24271,2,75046016,2,30041,2,13020169,2,36759,91,620605358,293,16999282,0,0
1,i01r06c05s05,2,668259,2,4505,2,99637,2,5395017,1,315956963,1,290015994,1,1720490,1,20778638,2,318368267,2,2591227,1,3245902,2,23925,2,74370073,2,32574,2,12185911,2,31932,91,892408630,293,16335371,0,0
2,i01r06c05s05,2,719801,2,4705,2,114625,2,6005611,1,304041716,1,223873587,1,1856611,1,14053426,2,306642009,2,3266766,1,3176020,2,19843,2,80743279,2,39959,2,20915993,2,55174,91,897437964,293,16139115,0,0
3,i01r06c05s05,2,681619,2,4209,2,91064,2,1948332,1,339011402,1,306006628,1,1797595,1,19325267,2,341513228,2,3656680,1,3221368,2,18225,2,64838858,2,18855,2,24438449,2,22328,91,884142560,293,16641380,0,0
4,i01r06c05s05,2,681911,2,4439,2,99341,2,5864932,1,309917384,1,324025906,1,1840179,1,13948118,2,312461781,2,2455791,1,3328295,2,17045,2,73713735,2,37527,2,14916494,2,45278,91,898043497,293,14060600,0,0
5,i01r06c05s05,2,667364,2,4406,2,93233,2,1874817,1,363555546,1,145994350,1,1871178,1,21242868,2,366115521,2,2731324,1,3233905,2,16528,2,59256582,2,19717,2,16211601,2,22333,91,890683647,293,16114147,0,0
6,i01r06c05s05,2,672558,2,4081,2,79275,2,5368309,1,134993310,1,138403941,1,1722431,1,13719510,2,137407207,2,2533043,1,3182739,2,15986,2,72433901,2,29329,2,12618882,2,33441,91,909941349,293,14145524,0,0
7,i01r06c05s05,2,652239,2,4599,2,91714,2,1683139,1,362412814,1,220803578,1,1870647,1,12866462,2,364957756,2,2701372,1,3179214,2,11704,2,60988060,2,19452,2,16304352,2,22002,91,901372804,293,14095084,0,0
8,i01r06c05s05,2,721095,2,4840,2,99841,2,5967847,1,267672707,1,142223160,1,1891717,1,19415557,2,270309251,2,2509480,1,3184538,2,16255,2,76759915,2,35645,2,14865493,2,35902,91,911157084,293,14563795,0,0
9,i01r06c05s05,2,649314,2,6765,2,101600,2,2030364,1,365894666,1,283754867,1,1609126,1,14779106,2,368179826,2,2703761,1,3232532,2,16832,2,60949383,2,20311,2,15614076,2,22776,91,905154285,293,16839780,0,0
10,i01r06c05s05,2,717468,2,4226,2,95156,2,1913443,1,292069670,1,326906439,1,1803378,1,14165020,2,294613687,2,2832666,1,3179603,2,16735,2,61984467,2,22657,2,16529837,2,24439,91,903044370,293,16649947,0,0
11,i01r06c05s05,2,668239,2,4528,2,99893,2,5588018,1,358260971,1,328149780,1,1886028,1,20301106,2,360836530,2,2612204,1,3228626,2,16903,2,78529418,2,35315,2,13733641,2,36521,91,886326294,293,14247917,0,0
12,i01r06c05s05,2,703121,2,4574,2,100510,2,1783640,1,277854638,1,263106697,1,1847157,1,14949970,2,280426248,2,2679401,1,3260291,2,17331,2,54950609,2,17972,2,15781598,2,22172,91,902822264,293,16402652,0,0
13,i01r06c05s05,2,655678,2,4058,2,105923,2,1916587,1,359549772,1,328964902,1,1908806,1,14089096,2,362135231,2,3125033,1,3240102,2,16658,2,66004659,2,20120,2,16077872,2,21665,91,904860594,293,16310905,0,0
14,i01r06c05s05,2,697926,2,4815,2,107690,2,5560520,1,344601767,1,259697157,1,1644611,1,13724602,2,346965811,2,2575729,1,3163758,2,18679,2,73104348,2,30789,2,14913184,2,51882,91,900918068,293,16072690,0,0
15,i01r06c05s05,2,685461,2,4619,2,101353,2,6422036,1,369373558,1,328141472,1,1668089,1,19849053,2,371749828,2,2559840,1,3226632,2,23971,2,81719127,2,33814,2,14270936,2,32160,91,893912217,293,16378485,0,0
16,i01r06c05s05,2,622341,2,5080,2,97067,2,5769025,1,349120797,1,266635124,1,1622596,1,20740322,2,351389734,2,2500978,1,3177680,2,32090,2,75439444,2,34266,2,14537214,2,49073,91,904702522,293,16236004,0,0
17,i01r06c05s05,2,655579,2,5093,2,110222,2,7144991,1,368964539,1,326826156,1,1915132,1,19426315,2,371558259,2,3188500,1,3202543,2,27122,2,101105257,2,46141,2,18472684,2,41126,91,891281263,293,16485290,0,0
18,i01r06c05s05,2,688748,2,4363,2,109802,2,1784466,1,309707073,1,139440236,1,1669237,1,16377761,2,312087757,2,2599048,1,3289412,2,11075,2,55400665,2,19302,2,15245121,2,22036,91,898108342,293,13987472,0,0
19,i01r06c05s05,2,639751,2,4519,2,91924,2,1622118,1,296405408,1,182901779,1,1875809,1,13684531,2,298941920,2,2623390,1,3173997,2,16936,2,56940927,2,18457,2,15048851,2,21365,91,907863394,293,15776374,0,0
20,i01r06c05s05,2,674764,2,4296,2,97669,2,6055085,1,255042696,1,288723364,1,1743291,1,19776266,2,257482025,2,2511933,1,3308993,2,26774,2,78986433,2,36538,2,14475188,2,37578,91,885388603,293,16075661,0,0
21,i01r06c05s05,2,659909,2,4552,2,87566,2,5192374,1,363416135,1,282450200,1,1744242,1,20483333,2,365842065,2,2702454,1,3311876,2,22647,2,77683683,2,31511,2,14302814,2,33759,91,887230845,293,16009125,0,0
22,i01r06c05s05,2,716256,2,4257,2,102229,2,2699798,1,362207439,1,324287414,1,1922100,1,12943761,2,364868871,2,3486630,1,3217333,2,15025,2,68514180,2,24283,2,21841225,2,30404,91,883810185,293,14385320,0,0
23,i01r06c05s05,2,672265,2,4761,2,131840,2,6881350,1,369723417,1,328628859,1,1909636,1,13177240,2,372330835,2,3320956,1,3246653,2,25678,2,84122040,2,54493,2,16803670,2,47233,91,910294040,293,16826365,0,0
24,i01r06c05s05,2,712339,2,4116,2,98972,2,1806244,1,285929048,1,327621520,1,1785913,1,14263795,2,288449605,2,2623829,1,3329369,2,11356,2,55040312,2,18417,2,16362824,2,21828,91,914061967,293,14364359,0,0
25,i01r06c05s05,2,711938,2,4773,2,91530,2,1815929,1,361212388,1,329044104,1,1877722,1,13350459,2,363824936,2,2944107,1,3173386,2,16722,2,64855127,2,18398,2,15773279,2,23314,91,911009914,293,16851585,0,0
26,i01r06c05s05,2,646426,2,4661,2,95315,2,1672985,1,249272959,1,253838389,1,1632846,1,13488810,2,251575792,2,2636002,1,3326992,2,16817,2,54615476,2,19081,2,15061460,2,21659,91,904136130,293,16238608,0,0
27,i01r06c05s05,2,666992,2,4160,2,102453,2,7065573,1,369851521,1,328272359,1,1775695,1,13823034,2,372315388,2,2549523,1,3231606,2,34793,2,82548050,2,42626,2,12972489,2,56965,91,916417018,293,17209280,0,0
28,i01r06c05s05,2,701802,2,4728,2,99463,2,5860451,1,257504865,1,301425208,1,1747760,1,19282865,2,259977933,2,2527605,1,3232695,2,25024,2,74039159,2,34308,2,14288103,2,41090,91,909099138,293,16367393,0,0
29,i01r06c05s05,2,666097,2,4000,2,94147,2,1767024,1,317376549,1,324705695,1,1893986,1,20953835,2,319957000,2,2650237,1,3284682,2,19783,2,56022160,2,18839,2,15039991,2,24250,91,891194855,293,16594886,0,0
30,i01r06c05s05,2,714831,2,4300,2,97206,2,6251299,1,368869130,1,293451548,1,1915069,1,12696184,2,371522699,2,2560405,1,3233785,2,34006,2,79172109,2,32761,2,14814481,2,57844,91,911044144,293,16470194,0,0
31,i01r06c05s05,2,655271,2,4397,2,90986,2,5136575,1,296975146,1,282140207,1,1829587,1,15181444,2,299479291,2,2502671,1,3231124,2,21607,2,71271613,2,27801,2,14403366,2,34535,91,911984620,293,16548998,0,0
32,i01r06c05s05,2,732046,2,4601,2,94421,2,1701954,1,198238666,1,321976424,1,1843540,1,14162525,2,200836766,2,2649108,1,3246101,2,10973,2,54547422,2,23504,2,15268421,2,21213,91,905121390,293,14069914,0,0
33,i01r06c05s05,2,665306,2,4489,2,105064,2,2070992,1,365436867,1,327817111,1,1865201,1,19728555,2,367989276,2,3098329,1,3288551,2,11553,2,66184360,2,23650,2,14575882,2,22697,91,888466605,293,14018903,0,0
34,i01r06c05s05,2,726375,2,4980,2,125175,2,1755322,1,347266306,1,290387074,1,1756535,1,13762680,2,349772007,2,2645023,1,3282749,2,11470,2,56404699,2,24493,2,15893118,2,23284,91,897703496,293,14202980,0,0
35,i01r06c05s05,2,644832,2,4838,2,117574,2,3361896,1,369809528,1,324458003,1,1820052,1,19340582,2,372298041,2,3316643,1,3211724,2,31230,2,78020066,2,33457,2,20290232,2,33645,91,897484664,293,16398999,0,0
36,i01r06c05s05,2,639532,2,4345,2,141038,2,2768208,1,325972630,1,230832518,1,1635505,1,14028324,2,328271838,2,3595158,1,3240962,2,20104,2,64754135,2,23195,2,19895040,2,29626,91,900411951,293,16360567,0,0
37,i01r06c05s05,2,645856,2,5608,2,106511,2,6380957,1,369910379,1,325578408,1,1817930,1,17753097,2,372398932,2,2571026,1,3320204,2,17751,2,78579463,2,35814,2,14097119,2,39216,91,893015291,293,14223854,0,0
38,i01r06c05s05,2,628224,2,4651,2,110424,2,5846029,1,343524686,1,145930059,1,1762260,1,13769813,2,345937497,2,2490063,1,3318132,2,15675,2,74655613,2,33481,2,14664699,2,36028,91,896845770,293,14233113,0,0
39,i01r06c05s05,2,674974,2,4397,2,102463,2,2033982,1,366741128,1,318468307,1,1773145,1,18348356,2,369210323,2,2699847,1,3223514,2,22183,2,59758147,2,23440,2,15872939,2,25130,91,893447687,293,16415389,0,0
40,i01r06c05s05,2,675109,2,4225,2,97775,2,5403949,1,347152352,1,240173982,1,1871812,1,19868616,2,349721029,2,2560137,1,3184420,2,21981,2,73211971,2,31757,2,15092685,2,36345,91,908213798,293,16668396,0,0
41,i01r06c05s05,2,655734,2,4746,2,94685,2,5203517,1,367765632,1,288694143,1,1739592,1,13411395,2,370182473,2,2568788,1,3229414,2,14815,2,77717497,2,30325,2,14974423,2,32921,91,904565332,293,14308124,0,0
42,i01r06c05s05,2,694961,2,4369,2,111574,2,2749665,1,369262086,1,313615825,1,1918676,1,18167522,2,371897506,2,3715383,1,3312820,2,15076,2,65752092,2,28976,2,19659406,2,29545,91,891751928,293,14176571,0,0
43,i01r06c05s05,2,659987,2,4309,2,100825,2,5691098,1,365432180,1,319012994,1,1764233,1,14459240,2,367880029,2,2657501,1,3161594,2,26998,2,78813933,2,32124,2,14827981,2,35906,91,904229115,293,16521813,0,0
44,i01r06c05s05,2,619722,2,4529,2,96995,2,5933225,1,357140348,1,328451781,1,1896636,1,14218733,2,359679908,2,2449109,1,3313048,2,16804,2,74326066,2,37499,2,14905491,2,36373,91,885668378,293,14039044,0,0
45,i01r06c05s05,2,762425,2,4591,2,94707,2,6086559,1,363314439,1,321446286,1,1705579,1,19457948,2,365804552,2,2609604,1,3214190,2,27391,2,82995903,2,33344,2,15204407,2,39018,91,888115515,293,16774091,0,0
46,i01r06c05s05,2,713144,2,4545,2,96396,2,1937624,1,367211035,1,274162262,1,1690608,1,19562654,2,369638485,2,2623592,1,3318200,2,16290,2,55411685,2,19786,2,15166614,2,20144,91,895681326,293,16541900,0,0
47,i01r06c05s05,2,670571,2,4561,2,95816,2,1793298,1,341712745,1,145121792,1,1746494,1,19733777,2,344152905,2,2685223,1,3207897,2,11592,2,56445834,2,23313,2,15989256,2,23219,91,884815880,293,14068358,0,0
48,i01r06c05s06,2,542110,2,4283,2,88818,2,1573195,1,131113493,1,313195468,1,1789339,1,12699444,2,133475604,2,2438752,1,3169469,2,15404,2,43818010,2,17070,2,12908151,2,21610,91,906837784,293,14399759,0,0
49,i01r06c05s06,2,593751,2,4380,2,84686,2,2524905,1,283998698,1,164963018,1,1853987,1,13590861,2,286466536,2,2960409,1,3216383,2,13322,2,50946606,2,24847,2,17035812,2,22868,91,919344976,293,12802633,0,0
50,i01r06c05s06,2,531691,2,4661,2,96366,2,1683632,1,256357178,1,308579541,1,1787299,1,12074325,2,258696889,2,2341092,1,3171800,2,21933,2,40105072,2,16569,2,14570040,2,22568,91,906279673,293,14451041,0,0
51,i01r06c05s06,2,526637,2,4692,2,71246,2,4858417,1,286106767,1,312511232,1,1909806,1,12893826,2,288562696,2,2225602,1,3149426,2,15570,2,54250455,2,30616,2,14019139,2,35407,91,911226174,293,12816478,0,0
52,i01r06c05s06,2,535277,2,4444,2,88746,2,1854891,1,253498560,1,310454599,1,1917430,1,13452826,2,255971435,2,2267881,1,3174810,2,21808,2,39857539,2,16073,2,14837558,2,25400,91,915334780,293,14571259,0,0
53,i01r06c05s06,2,536915,2,4326,2,92491,2,1470750,1,259644368,1,247548428,1,1775209,1,13323717,2,261976167,2,2301937,1,3162541,2,15367,2,39301143,2,16025,2,14692895,2,21314,91,912543435,293,14600638,0,0
54,i01r06c05s06,2,532270,2,3958,2,84919,2,1445323,1,117050809,1,271475556,1,1804918,1,13144469,2,119406689,2,2462438,1,3171881,2,17482,2,43393013,2,20885,2,13253882,2,22875,91,918721286,293,14959529,0,0
55,i01r06c05s06,2,532206,2,4145,2,77997,2,2324693,1,285430039,1,123676130,1,1675396,1,13175936,2,287658605,2,2223984,1,3176023,2,10943,2,39500074,2,18967,2,15012123,2,22420,91,913434020,293,13220872,0,0
56,i01r06c05s06,2,530108,2,4275,2,75841,2,1612378,1,261354035,1,268613969,1,1848023,1,13123805,2,263750594,2,2227110,1,3220894,2,16361,2,41514480,2,15665,2,15057175,2,22194,91,908496012,293,14736607,0,0
57,i01r06c05s06,2,522303,2,4230,2,116015,2,5235694,1,285882640,1,257071842,1,1731265,1,18418993,2,288157312,2,3043406,1,3217267,2,26857,2,57566623,2,43178,2,18126099,2,63300,91,903705478,293,14868629,0,0
58,i01r06c05s06,2,527486,2,4641,2,93089,2,4106266,1,283318773,1,262530534,1,1859525,1,15428561,2,285725490,2,2217526,1,3161698,2,33107,2,53756846,2,29166,2,14926569,2,53762,91,911346026,293,14847813,0,0
