numerOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
2,"BM_submitBlocks/8/1/1048576/manual_time",59,12.2814,24.9801,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time",59,12.8515,26.0389,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time",59,12.3683,25.4754,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time",59,12.7967,25.9686,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time",59,12.376,25.4957,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time_mean",5,12.5348,25.5918,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time_median",5,12.376,25.4957,ms,,,,,
2,"BM_submitBlocks/8/1/1048576/manual_time_stddev",5,0.267419,0.429764,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time",97,7.88748,15.5388,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time",97,7.3286,14.8951,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time",97,7.2941,14.8955,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time",97,8.04027,15.7169,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time",97,7.25885,14.8817,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time_mean",5,7.56186,15.1856,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time_median",5,7.3286,14.8955,ms,,,,,
2,"BM_submitBlocks/16/1/1048576/manual_time_stddev",5,0.371763,0.408634,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time",147,4.88285,10.0993,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time",147,5.25081,10.5025,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time",147,4.85231,10.0693,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time",147,4.72885,9.94431,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time",147,4.73736,9.96409,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time_mean",5,4.89044,10.1159,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time_median",5,4.85231,10.0693,ms,,,,,
2,"BM_submitBlocks/32/1/1048576/manual_time_stddev",5,0.212675,0.226048,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time",170,4.07645,8.22291,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time",170,4.18755,8.33148,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time",170,3.95331,8.08935,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time",170,3.9418,8.07658,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time",170,3.94658,8.08611,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time_mean",5,4.02114,8.16129,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time_median",5,3.95331,8.08935,ms,,,,,
2,"BM_submitBlocks/64/1/1048576/manual_time_stddev",5,0.108633,0.112654,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time",184,3.97757,7.64409,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time",184,3.78736,7.44123,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time",184,4.0022,7.66561,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time",184,3.78209,7.43651,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time",184,3.77806,7.43208,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time_mean",5,3.86545,7.5239,ms,,,,,
2,"BM_submitBlocks/128/1/1048576/manual_time_median",5,3.78736,7.44123,ms,,,,,
