numberOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
8,"BM_submitBlocks/8/1/1048576/manual_time",46,15.3517,28.0049,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time",46,15.5661,28.6198,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time",46,15.1772,28.16,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time",46,15.3442,28.4129,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time",46,15.1392,28.2072,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time_mean",5,15.3157,28.2809,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time_median",5,15.3442,28.2072,ms,,,,,
8,"BM_submitBlocks/8/1/1048576/manual_time_stddev",5,0.169667,0.239029,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time",83,9.2405,16.919,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time",83,9.2866,16.9947,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time",83,8.46468,16.0778,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time",83,8.73032,16.4169,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time",83,9.61754,17.4126,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time_mean",5,9.06793,16.7642,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time_median",5,9.2405,16.919,ms,,,,,
8,"BM_submitBlocks/16/1/1048576/manual_time_stddev",5,0.463019,0.521824,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time",125,5.67065,10.9741,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time",125,6.32006,11.641,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time",125,6.41928,11.7698,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time",125,6.37591,11.7207,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time",125,5.78047,11.1044,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time_mean",5,6.11327,11.442,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time_median",5,6.32006,11.641,ms,,,,,
8,"BM_submitBlocks/32/1/1048576/manual_time_stddev",5,0.35779,0.373363,ms,,,,,
8,"BM_submitBlocks/64/1/1048576/manual_time",142,4.9858,9.27012,ms,,,,,
