name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_submitBlocks/8/2/1048576/manual_time",1,687.38,686.464,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",1,643.201,656.068,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",1,641.355,650.424,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",1,640.414,651.008,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",1,644.654,657.49,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time_mean",5,651.401,660.291,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time_median",5,643.201,656.068,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time_stddev",5,20.1796,14.9517,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",60,11.5697,14.7653,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",60,11.5899,14.789,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",60,11.7152,14.9287,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",60,11.5213,14.7255,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",60,11.5231,14.7303,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time_mean",5,11.5839,14.7878,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time_median",5,11.5697,14.7653,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time_stddev",5,0.0791879,0.0829834,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",95,7.50814,10.5277,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",95,7.35387,10.354,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",95,7.37107,10.3629,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",95,7.35406,10.364,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",95,7.35465,10.3513,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time_mean",5,7.38836,10.392,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time_median",5,7.35465,10.3629,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time_stddev",5,0.0673577,0.0760522,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time",1,892.788,906.106,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time",1,882.156,891.395,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time",1,882.698,892.938,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time",1,878.719,889.106,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time",1,877.053,887.412,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time_mean",5,882.683,893.391,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time_median",5,882.156,891.395,ms,,,,,
"BM_submitBlocks/8/3/1048576/manual_time_stddev",5,6.11948,7.41558,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time",36,19.2781,22.5131,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time",36,19.4455,22.7142,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time",36,19.3692,22.6001,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time",36,19.3496,22.5883,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time",36,19.3509,22.591,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time_mean",5,19.3587,22.6013,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time_median",5,19.3509,22.591,ms,,,,,
"BM_submitBlocks/1024/3/1048576/manual_time_stddev",5,0.0597471,0.0721235,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time",53,12.9482,15.985,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time",53,13.2749,16.3077,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time",53,13.2304,16.262,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time",53,13.3272,16.3613,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time",53,13.2541,16.286,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time_mean",5,13.2069,16.2404,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time_median",5,13.2541,16.286,ms,,,,,
"BM_submitBlocks/1048576/3/1048576/manual_time_stddev",5,0.149,0.147433,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time",1,1145.36,1156.97,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time",1,1129.72,1138.93,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time",1,1129.18,1139.41,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time",1,1130.21,1140.2,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time",1,1128.43,1138.64,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time_mean",5,1132.58,1142.83,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time_median",5,1129.72,1139.41,ms,,,,,
"BM_submitBlocks/8/4/1048576/manual_time_stddev",5,7.17345,7.92756,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time",23,30.3686,33.5017,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time",23,30.3857,33.5175,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time",23,30.2779,33.4198,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time",23,30.2772,33.4175,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time",23,30.2751,33.4731,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time_mean",5,30.3169,33.4659,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time_median",5,30.2779,33.4731,ms,,,,,
"BM_submitBlocks/1024/4/1048576/manual_time_stddev",5,0.0553322,0.0459913,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time",34,20.2562,23.2335,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time",34,20.2961,23.2805,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time",34,20.3418,23.3274,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time",34,20.5006,23.4913,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time",34,20.5175,23.4935,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time_mean",5,20.3824,23.3652,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time_median",5,20.3418,23.3274,ms,,,,,
"BM_submitBlocks/1048576/4/1048576/manual_time_stddev",5,0.119622,0.120727,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time",1,10169.6,10427.2,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time",1,10149.1,10348.3,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time",1,10200.5,10394.4,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time",1,10205.2,10364.8,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time",1,10176.8,10386.9,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time_mean",5,10180.2,10384.3,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time_median",5,10176.8,10386.9,ms,,,,,
"BM_submitBlocks/8/2/16777216/manual_time_stddev",5,23.0485,30.122,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time",1,628.936,653.679,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time",1,342.452,397.432,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time",1,348.337,405.387,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time",1,347.432,404.157,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time",1,347.294,404.451,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time_mean",5,402.89,453.021,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time_median",5,347.432,404.451,ms,,,,,
"BM_submitBlocks/1024/2/16777216/manual_time_stddev",5,126.384,112.216,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time",2,292.816,346.091,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time",2,293.007,345.994,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time",2,293.668,346.501,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time",2,292.706,345.986,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time",2,292.622,346.151,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time_mean",5,292.964,346.145,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time_median",5,292.816,346.091,ms,,,,,
"BM_submitBlocks/1048576/2/16777216/manual_time_stddev",5,0.419093,0.210829,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time",1,13991.1,14132,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time",1,14046.3,14251.2,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time",1,13991.8,14131.6,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time",1,14031.8,14203.4,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time",1,13961.4,14112.8,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time_mean",5,14004.5,14166.2,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time_median",5,13991.8,14132,ms,,,,,
"BM_submitBlocks/8/3/16777216/manual_time_stddev",5,34.2422,58.8106,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time",1,1023.89,1093.73,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time",1,618.544,674.1,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time",1,596.665,658.885,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time",1,592.066,655.133,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time",1,592.957,655.99,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time_mean",5,684.824,747.568,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time_median",5,596.665,658.885,ms,,,,,
"BM_submitBlocks/1024/3/16777216/manual_time_stddev",5,189.851,193.664,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time",1,550.458,603.562,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time",1,499.178,556.251,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time",1,501.644,558.524,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time",1,501.417,559.098,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time",1,496.961,554.682,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time_mean",5,509.931,566.423,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time_median",5,501.417,558.524,ms,,,,,
"BM_submitBlocks/1048576/3/16777216/manual_time_stddev",5,22.7346,20.8366,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time",1,18096.6,18267.2,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time",1,18170.3,18330,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time",1,18195.3,18393.2,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time",1,18133.8,18247,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time",1,18134,18291.9,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time_mean",5,18146,18305.9,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time_median",5,18134,18291.9,ms,,,,,
"BM_submitBlocks/8/4/16777216/manual_time_stddev",5,37.8994,57.7907,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time",1,1455.31,1511.42,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time",1,849.488,915.738,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time",1,849.275,913.124,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time",1,822.279,888.213,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time",1,816.382,883.212,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time_mean",5,958.547,1022.34,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time_median",5,849.275,913.124,ms,,,,,
"BM_submitBlocks/1024/4/16777216/manual_time_stddev",5,278.114,273.786,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time",1,732.949,790.966,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time",1,668.552,726.794,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time",1,663.421,722.276,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time",1,669.51,728.488,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time",1,672.65,731.708,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time_mean",5,681.416,740.046,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time_median",5,669.51,728.488,ms,,,,,
"BM_submitBlocks/1048576/4/16777216/manual_time_stddev",5,28.9981,28.6677,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time",1,20393.3,20747.4,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time",1,20376.3,20867.9,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time",1,20393.6,20818.6,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time",1,20391.3,20842.3,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time",1,20360.4,20771.2,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time_mean",5,20383,20809.5,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time_median",5,20391.3,20818.6,ms,,,,,
"BM_submitBlocks/8/2/33554432/manual_time_stddev",5,14.4968,49.7519,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time",1,1321.16,1417.05,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time",1,797.101,901.576,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time",1,775.671,894.396,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time",1,765.548,886.787,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time",1,766.298,884.868,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time_mean",5,885.155,996.936,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time_median",5,775.671,894.396,ms,,,,,
"BM_submitBlocks/1024/2/33554432/manual_time_stddev",5,244.065,234.947,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time",1,667.722,768.902,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time",1,682.307,787.429,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time",1,682.524,790.213,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time",1,677.199,784.898,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time",1,687.74,794.058,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time_mean",5,679.499,785.1,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time_median",5,682.307,787.429,ms,,,,,
"BM_submitBlocks/1048576/2/33554432/manual_time_stddev",5,7.56545,9.67282,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time",1,27956.5,28352,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time",1,28005.5,28486.8,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time",1,37659.7,38064.6,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time",1,30040.3,30426.4,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time",1,28017.6,28494.2,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time_mean",5,30335.9,30764.8,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time_median",5,28017.6,28494.2,ms,,,,,
"BM_submitBlocks/8/3/33554432/manual_time_stddev",5,4189.05,4170.37,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time",1,2078.89,2162.61,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time",1,1258.5,1381.68,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time",1,1270.55,1399.55,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time",1,1259.24,1385.85,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time",1,1269.42,1392.38,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time_mean",5,1427.32,1544.42,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time_median",5,1269.42,1392.38,ms,,,,,
"BM_submitBlocks/1024/3/33554432/manual_time_stddev",5,364.283,345.65,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time",1,1129.32,1241.57,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time",1,1110.72,1224.82,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time",1,1113.88,1226.48,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time",1,1099.95,1215.32,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time",1,1109.82,1223.86,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time_mean",5,1112.74,1226.41,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time_median",5,1110.72,1224.82,ms,,,,,
"BM_submitBlocks/1048576/3/33554432/manual_time_stddev",5,10.6362,9.51301,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time",1,36128.1,36565.4,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time",1,36221,36606.2,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time",1,36224.7,36632.5,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time",1,36225,36615,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time",1,36196.1,36632.7,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time_mean",5,36199,36610.4,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time_median",5,36221,36615,ms,,,,,
"BM_submitBlocks/8/4/33554432/manual_time_stddev",5,41.4115,27.6084,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time",1,2927.19,3021.53,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time",1,1833.03,1960.82,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time",1,1817.95,1947.06,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time",1,1811.57,1940.98,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time",1,1809.99,1938.92,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time_mean",5,2039.94,2161.86,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time_median",5,1817.95,1947.06,ms,,,,,
"BM_submitBlocks/1024/4/33554432/manual_time_stddev",5,496.067,480.647,ms,,,,,
"BM_submitBlocks/1048576/4/33554432/manual_time",1,1672.9,1793.28,ms,,,,,
"BM_submitBlocks/1048576/4/33554432/manual_time",1,1542.21,1663.49,ms,,,,,
"BM_submitBlocks/1048576/4/33554432/manual_time",1,1569.86,1693.12,ms,,,,,
"BM_submitBlocks/1048576/4/33554432/manual_time",1,1574.25,1693.43,ms,,,,,
