name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_submitBlocks/8/2/1048576/manual_time",30,23.3638,35.9097,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",30,23.9405,36.9352,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",30,23.8284,36.9044,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",30,23.7061,36.7471,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time",30,24.2593,37.4043,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time_mean",5,23.8196,36.7801,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time_median",5,23.8284,36.9044,ms,,,,,
"BM_submitBlocks/8/2/1048576/manual_time_stddev",5,0.32733,0.54491,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",76,9.20755,12.3896,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",76,9.17373,12.3665,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",76,9.44902,12.6876,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",76,9.24841,12.446,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time",76,9.13414,12.3133,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time_mean",5,9.24257,12.4406,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time_median",5,9.20755,12.3896,ms,,,,,
"BM_submitBlocks/1024/2/1048576/manual_time_stddev",5,0.122858,0.146063,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",88,8.02224,10.9731,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",88,8.309,11.2958,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",88,8.20364,11.2004,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",88,8.01116,10.9618,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time",88,7.97478,10.9314,ms,,,,,
"BM_submitBlocks/1048576/2/1048576/manual_time_mean",5,8.10417,11.0725,ms,,,,,
