numberOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
4,"BM_submitBlocks/8/2/1048576/manual_time",1,735.666,669.21,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time",1,123.181,134.284,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time",1,121.576,133.257,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time",1,121.792,133.78,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time",1,121.712,133.233,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time_mean",5,244.786,240.753,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time_median",5,121.792,133.78,ms,,,,,
4,"BM_submitBlocks/8/2/1048576/manual_time_stddev",5,274.411,239.515,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time",78,9.03535,12.2225,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time",78,9.16728,12.3914,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time",78,8.99803,12.1603,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time",78,8.95575,12.126,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time",78,9.07928,12.2932,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time_mean",5,9.04714,12.2387,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time_median",5,9.03535,12.2225,ms,,,,,
4,"BM_submitBlocks/1024/2/1048576/manual_time_stddev",5,0.0811928,0.106526,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time",86,8.15454,11.0184,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time",86,8.11283,10.983,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time",86,8.3154,11.2168,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time",86,8.12593,10.9957,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time",86,8.11978,10.9879,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time_mean",5,8.1657,11.0404,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time_median",5,8.12593,10.9957,ms,,,,,
4,"BM_submitBlocks/1048576/2/1048576/manual_time_stddev",5,0.0851751,0.0995404,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time",4,167.501,180.277,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time",4,168.972,181.593,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time",4,169.334,182.18,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time",4,167.902,180.548,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time",4,167.791,180.49,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time_mean",5,168.3,181.017,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time_median",5,167.902,180.548,ms,,,,,
4,"BM_submitBlocks/8/3/1048576/manual_time_stddev",5,0.802455,0.826041,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time",43,16.4569,19.6819,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time",43,16.4102,19.632,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time",43,16.4194,19.6423,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time",43,16.4357,19.6465,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time",43,16.6255,19.8716,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time_mean",5,16.4696,19.6948,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time_median",5,16.4357,19.6465,ms,,,,,
4,"BM_submitBlocks/1024/3/1048576/manual_time_stddev",5,0.0889592,0.100561,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time",45,15.4976,18.4214,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time",45,15.5323,18.448,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time",45,15.6024,18.5206,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time",45,15.5776,18.4908,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time",45,15.6542,18.5809,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time_mean",5,15.5728,18.4923,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time_median",5,15.5776,18.4908,ms,,,,,
4,"BM_submitBlocks/1048576/3/1048576/manual_time_stddev",5,0.0608678,0.0625497,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time",3,213.174,225.855,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time",3,213.089,225.795,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time",3,212.864,225.472,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time",3,215.219,228.517,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time",3,213.674,226.171,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time_mean",5,213.604,226.362,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time_median",5,213.174,225.855,ms,,,,,
4,"BM_submitBlocks/8/4/1048576/manual_time_stddev",5,0.950013,1.23007,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time",29,24.0383,27.2471,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time",29,23.9721,27.1604,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time",29,23.8035,26.982,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time",29,24.0629,27.2491,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time",29,24.1956,27.3814,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time_mean",5,24.0145,27.204,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time_median",5,24.0383,27.2471,ms,,,,,
4,"BM_submitBlocks/1024/4/1048576/manual_time_stddev",5,0.143202,0.14708,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time",30,23.126,26.0458,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time",30,23.0307,25.9511,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time",30,22.7141,25.6119,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time",30,22.9302,25.8331,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time",30,22.8663,25.7767,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time_mean",5,22.9335,25.8437,ms,,,,,
4,"BM_submitBlocks/1048576/4/1048576/manual_time_median",5,22.9302,25.8331,ms,,,,,
