code,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,iterations,real_time,cpu_time,time_unit
with-id-compression,4,submitBlocks,8,2,1048576,1,735.666,669.21,ms
with-id-compression,4,submitBlocks,8,2,1048576,1,123.181,134.284,ms
with-id-compression,4,submitBlocks,8,2,1048576,1,121.576,133.257,ms
with-id-compression,4,submitBlocks,8,2,1048576,1,121.792,133.78,ms
with-id-compression,4,submitBlocks,8,2,1048576,1,121.712,133.233,ms
with-id-compression,4,submitBlocks,1024,2,1048576,78,9.03535,12.2225,ms
with-id-compression,4,submitBlocks,1024,2,1048576,78,9.16728,12.3914,ms
with-id-compression,4,submitBlocks,1024,2,1048576,78,8.99803,12.1603,ms
with-id-compression,4,submitBlocks,1024,2,1048576,78,8.95575,12.126,ms
with-id-compression,4,submitBlocks,1024,2,1048576,78,9.07928,12.2932,ms
with-id-compression,4,submitBlocks,1048576,2,1048576,86,8.15454,11.0184,ms
with-id-compression,4,submitBlocks,1048576,2,1048576,86,8.11283,10.983,ms
with-id-compression,4,submitBlocks,1048576,2,1048576,86,8.3154,11.2168,ms
with-id-compression,4,submitBlocks,1048576,2,1048576,86,8.12593,10.9957,ms
with-id-compression,4,submitBlocks,1048576,2,1048576,86,8.11978,10.9879,ms
with-id-compression,4,submitBlocks,8,3,1048576,4,167.501,180.277,ms
with-id-compression,4,submitBlocks,8,3,1048576,4,168.972,181.593,ms
with-id-compression,4,submitBlocks,8,3,1048576,4,169.334,182.18,ms
with-id-compression,4,submitBlocks,8,3,1048576,4,167.902,180.548,ms
with-id-compression,4,submitBlocks,8,3,1048576,4,167.791,180.49,ms
with-id-compression,4,submitBlocks,1024,3,1048576,43,16.4569,19.6819,ms
with-id-compression,4,submitBlocks,1024,3,1048576,43,16.4102,19.632,ms
with-id-compression,4,submitBlocks,1024,3,1048576,43,16.4194,19.6423,ms
with-id-compression,4,submitBlocks,1024,3,1048576,43,16.4357,19.6465,ms
with-id-compression,4,submitBlocks,1024,3,1048576,43,16.6255,19.8716,ms
with-id-compression,4,submitBlocks,1048576,3,1048576,45,15.4976,18.4214,ms
with-id-compression,4,submitBlocks,1048576,3,1048576,45,15.5323,18.448,ms
with-id-compression,4,submitBlocks,1048576,3,1048576,45,15.6024,18.5206,ms
with-id-compression,4,submitBlocks,1048576,3,1048576,45,15.5776,18.4908,ms
with-id-compression,4,submitBlocks,1048576,3,1048576,45,15.6542,18.5809,ms
with-id-compression,4,submitBlocks,8,4,1048576,3,213.174,225.855,ms
with-id-compression,4,submitBlocks,8,4,1048576,3,213.089,225.795,ms
with-id-compression,4,submitBlocks,8,4,1048576,3,212.864,225.472,ms
with-id-compression,4,submitBlocks,8,4,1048576,3,215.219,228.517,ms
with-id-compression,4,submitBlocks,8,4,1048576,3,213.674,226.171,ms
with-id-compression,4,submitBlocks,1024,4,1048576,29,24.0383,27.2471,ms
with-id-compression,4,submitBlocks,1024,4,1048576,29,23.9721,27.1604,ms
with-id-compression,4,submitBlocks,1024,4,1048576,29,23.8035,26.982,ms
with-id-compression,4,submitBlocks,1024,4,1048576,29,24.0629,27.2491,ms
with-id-compression,4,submitBlocks,1024,4,1048576,29,24.1956,27.3814,ms
with-id-compression,4,submitBlocks,1048576,4,1048576,30,23.126,26.0458,ms
with-id-compression,4,submitBlocks,1048576,4,1048576,30,23.0307,25.9511,ms
with-id-compression,4,submitBlocks,1048576,4,1048576,30,22.7141,25.6119,ms
with-id-compression,4,submitBlocks,1048576,4,1048576,30,22.9302,25.8331,ms
with-id-compression,4,submitBlocks,1048576,4,1048576,30,22.8663,25.7767,ms
with-id-compression,4,submitBlocks,8,2,16777216,1,2152.09,2420.15,ms
with-id-compression,4,submitBlocks,8,2,16777216,1,2131.76,2340.52,ms
with-id-compression,4,submitBlocks,8,2,16777216,1,2128.28,2363.55,ms
with-id-compression,4,submitBlocks,8,2,16777216,1,2138.41,2326.91,ms
with-id-compression,4,submitBlocks,8,2,16777216,1,2105.17,2357.9,ms
with-id-compression,4,submitBlocks,1024,2,16777216,3,204.182,264.028,ms
with-id-compression,4,submitBlocks,1024,2,16777216,3,229.675,288.372,ms
with-id-compression,4,submitBlocks,1024,2,16777216,3,231.607,290.391,ms
with-id-compression,4,submitBlocks,1024,2,16777216,3,230.637,289.317,ms
with-id-compression,4,submitBlocks,1024,2,16777216,3,234.416,293.258,ms
with-id-compression,4,submitBlocks,1048576,2,16777216,4,220.994,272.448,ms
with-id-compression,4,submitBlocks,1048576,2,16777216,4,220.17,272.282,ms
with-id-compression,4,submitBlocks,1048576,2,16777216,4,220.589,272.71,ms
with-id-compression,4,submitBlocks,1048576,2,16777216,4,221.388,273.567,ms
with-id-compression,4,submitBlocks,1048576,2,16777216,4,220.925,273.049,ms
with-id-compression,4,submitBlocks,8,3,16777216,1,2760.49,2987.41,ms
with-id-compression,4,submitBlocks,8,3,16777216,1,2765.58,3010.76,ms
with-id-compression,4,submitBlocks,8,3,16777216,1,2817.89,3065.1,ms
with-id-compression,4,submitBlocks,8,3,16777216,1,2764.96,2976.45,ms
with-id-compression,4,submitBlocks,8,3,16777216,1,2767.87,3004.56,ms
with-id-compression,4,submitBlocks,1024,3,16777216,1,643.787,697.522,ms
with-id-compression,4,submitBlocks,1024,3,16777216,1,535.182,595.813,ms
with-id-compression,4,submitBlocks,1024,3,16777216,1,523.082,584.334,ms
with-id-compression,4,submitBlocks,1024,3,16777216,1,523.939,586.071,ms
with-id-compression,4,submitBlocks,1024,3,16777216,1,505.497,568.872,ms
with-id-compression,4,submitBlocks,1048576,3,16777216,1,505.154,556.994,ms
with-id-compression,4,submitBlocks,1048576,3,16777216,1,491.167,547.166,ms
with-id-compression,4,submitBlocks,1048576,3,16777216,1,487.844,542.417,ms
with-id-compression,4,submitBlocks,1048576,3,16777216,1,485.243,541.074,ms
with-id-compression,4,submitBlocks,1048576,3,16777216,1,482.42,538.084,ms
with-id-compression,4,submitBlocks,8,4,16777216,1,3509.81,3735.51,ms
with-id-compression,4,submitBlocks,8,4,16777216,1,3559.94,3835.32,ms
with-id-compression,4,submitBlocks,8,4,16777216,1,3520.29,3762.83,ms
with-id-compression,4,submitBlocks,8,4,16777216,1,3525.29,3733.94,ms
with-id-compression,4,submitBlocks,8,4,16777216,1,3521.67,3767.05,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,875.616,924.32,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,818.387,882.421,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,822.26,886.868,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,817.959,881.348,ms
with-id-compression,4,submitBlocks,1024,4,16777216,1,813.732,876.913,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,794.183,849.817,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,790.6,848.818,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,795.775,855.119,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,793.779,853.127,ms
with-id-compression,4,submitBlocks,1048576,4,16777216,1,788.969,847.366,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4323.12,4794.22,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4341.52,4872.5,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4297.11,4818.05,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4297.93,4764.95,ms
with-id-compression,4,submitBlocks,8,2,33554432,1,4287.95,4822.35,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,772.571,879.687,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,627.957,745.893,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,611.963,738.249,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,609.932,720.849,ms
with-id-compression,4,submitBlocks,1024,2,33554432,1,614.487,736.469,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,604.724,711.574,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,601.212,708.61,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,604.358,711.711,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,607.935,714.274,ms
with-id-compression,4,submitBlocks,1048576,2,33554432,1,602.192,708.492,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5607.55,6108.17,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5614.16,6151.59,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5612.17,6160.23,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5631.01,6107.9,ms
with-id-compression,4,submitBlocks,8,3,33554432,1,5675.18,6179.09,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1304.05,1427.9,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1313.74,1434.29,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1300.49,1421.76,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1294.78,1413.46,ms
with-id-compression,4,submitBlocks,1024,3,33554432,1,1299.8,1421.99,ms
with-id-compression,4,submitBlocks,1048576,3,33554432,1,1271.79,1385.29,ms
