idRandomization,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,blocksPerPermutationRange,promilleOfRanksThatFail,iterations,real_time,cpu_time,time_unit
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,338.074,32732.7,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,342.452,388.835,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,325.821,386.535,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,307.331,350.464,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,288.466,335.432,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,460.25,510.236,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,333.699,378.614,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,319.362,366.249,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,335.818,383.365,ms
TRUE,128,submitBlocks,64,1,16777216,4096,10,1,326,374.201,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,1.62322,3.35917,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.996267,1.81806,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,1.76688,2.81964,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.777828,5.58488,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.870793,1.77565,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.805375,1.58144,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.729265,1.4785,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.881822,1.40875,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,1.78447,2.99304,ms
TRUE,128,pullBlocksSingleRank,64,1,16777216,4096,10,1,1.84927,2.88329,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,25.1032,60.2621,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,47.9716,54.5924,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,17.1333,55.1679,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,15.3627,47.6526,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,18.5251,55.1011,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,16.7413,53.6536,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,16.0674,47.6386,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,16.24,57.4824,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,16.3055,45.5739,ms
TRUE,128,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,17.9636,55.8766,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,200.379,3835.1,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,185.043,214.695,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,178.981,204.413,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,178.183,204.747,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,177.787,216.391,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,177.201,215.63,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,188.212,227.113,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,188.345,228.831,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,179.158,239.09,ms
TRUE,16,submitBlocks,64,1,16777216,4096,10,1,180.464,240.117,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,1.40136,2.68985,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.70149,2.57788,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.509084,2.25649,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.512909,2.45152,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.495328,2.15782,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.497208,2.64536,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.502249,2.57825,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.72745,2.82071,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.63675,2.20484,ms
TRUE,16,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.58396,2.05228,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,22.9948,26.3076,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,16.9614,21.364,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,14.4631,19.5846,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,15.4306,21.2341,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,17.8559,22.9167,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,14.7128,19.9306,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,16.8296,21.5873,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,14.7557,20.8713,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,15.4925,20.376,ms
TRUE,16,pullBlocksSingleRankToSingleRank,64,1,16777216,4096,10,1,15.706,20.4906,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,128.843,221.574,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,110.941,114.467,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.072,108.809,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.184,107.884,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.078,108.612,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.332,107.893,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.113,108.517,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.079,108.927,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,105.661,109.647,ms
TRUE,1,submitBlocks,64,1,16777216,4096,10,1,106.58,109.166,ms
TRUE,1,pullBlocksSingleRank,64,1,16777216,4096,10,1,1.62205,2.6369,ms
TRUE,1,pullBlocksSingleRank,64,1,16777216,4096,10,1,0.923589,1.34422,ms
