simulation_id,mode,seed,num_ranks,num_blocks,replication_level,failures_until_data_loss
indep-blocks,rank,0,100,1000,2,18
indep-blocks,rank,1,100,1000,2,18
indep-blocks,rank,2,100,1000,2,10
indep-blocks,rank,3,100,1000,2,8
indep-blocks,rank,4,100,1000,2,19
indep-blocks,rank,5,100,1000,2,6
indep-blocks,rank,6,100,1000,2,11
indep-blocks,rank,7,100,1000,2,5
indep-blocks,rank,8,100,1000,2,12
indep-blocks,rank,9,100,1000,2,20
indep-blocks,rank,0,100,10000,2,18
indep-blocks,rank,1,100,10000,2,18
indep-blocks,rank,2,100,10000,2,10
indep-blocks,rank,3,100,10000,2,8
indep-blocks,rank,4,100,10000,2,19
indep-blocks,rank,5,100,10000,2,6
indep-blocks,rank,6,100,10000,2,11
indep-blocks,rank,7,100,10000,2,5
indep-blocks,rank,8,100,10000,2,12
indep-blocks,rank,9,100,10000,2,20
indep-blocks,rank,0,100,100000,2,18
indep-blocks,rank,1,100,100000,2,18
indep-blocks,rank,2,100,100000,2,10
indep-blocks,rank,3,100,100000,2,8
indep-blocks,rank,4,100,100000,2,19
indep-blocks,rank,5,100,100000,2,6
indep-blocks,rank,6,100,100000,2,11
indep-blocks,rank,7,100,100000,2,5
indep-blocks,rank,8,100,100000,2,12
indep-blocks,rank,9,100,100000,2,20
indep-blocks,rank,0,100,1000000,2,18
indep-blocks,rank,1,100,1000000,2,18
indep-blocks,rank,2,100,1000000,2,10
indep-blocks,rank,3,100,1000000,2,8
indep-blocks,rank,4,100,1000000,2,19
indep-blocks,rank,5,100,1000000,2,6
indep-blocks,rank,6,100,1000000,2,11
indep-blocks,rank,7,100,1000000,2,5
indep-blocks,rank,8,100,1000000,2,12
indep-blocks,rank,9,100,1000000,2,20
indep-blocks,rank,0,100,10000000,2,18
indep-blocks,rank,1,100,10000000,2,18
indep-blocks,rank,2,100,10000000,2,10
indep-blocks,rank,3,100,10000000,2,8
indep-blocks,rank,4,100,10000000,2,19
indep-blocks,rank,5,100,10000000,2,6
indep-blocks,rank,6,100,10000000,2,11
indep-blocks,rank,7,100,10000000,2,5
indep-blocks,rank,8,100,10000000,2,12
indep-blocks,rank,9,100,10000000,2,20
indep-blocks,rank,0,100,100000000,2,18
indep-blocks,rank,1,100,100000000,2,18
indep-blocks,rank,2,100,100000000,2,10
indep-blocks,rank,3,100,100000000,2,8
indep-blocks,rank,4,100,100000000,2,19
indep-blocks,rank,5,100,100000000,2,6
indep-blocks,rank,6,100,100000000,2,11
indep-blocks,rank,7,100,100000000,2,5
indep-blocks,rank,8,100,100000000,2,12
indep-blocks,rank,9,100,100000000,2,20
indep-blocks,rank,0,100,1000,3,21
indep-blocks,rank,1,100,1000,3,21
indep-blocks,rank,2,100,1000,3,13
indep-blocks,rank,3,100,1000,3,19
indep-blocks,rank,4,100,1000,3,9
indep-blocks,rank,5,100,1000,3,31
